name,yearID,G,W,L,R,AB,H,2B,3B,HR,BB,SO,SB,ER,ERA,CG,E
Pittsburgh Pirates,1988,160,85,75,651,5379,1327,240,45,110,553,947.0,119.0,555,3.47,12,124
San Diego Padres,1988,161,83,78,594,5366,1325,205,35,94,494,892.0,123.0,528,3.28,30,116
Seattle Mariners,1988,161,68,93,664,5436,1397,271,27,148,461,787.0,95.0,658,4.15,28,123
San Francisco Giants,1988,162,83,79,670,5450,1353,227,44,113,550,1023.0,121.0,551,3.39,25,129
St. Louis Cardinals,1988,162,76,86,578,5518,1373,207,33,71,484,827.0,234.0,567,3.47,17,121
Texas Rangers,1988,161,70,91,637,5479,1378,227,39,112,542,1022.0,130.0,647,4.05,41,129
Toronto Blue Jays,1988,162,87,75,763,5557,1491,271,47,158,521,935.0,107.0,612,3.8,16,110
Atlanta Braves,1989,161,63,97,584,5463,1281,201,22,128,485,996.0,83.0,595,3.7,15,152
Baltimore Orioles,1989,162,87,75,708,5440,1369,238,33,129,593,957.0,118.0,644,4.0,16,87
Boston Red Sox,1989,162,83,79,774,5666,1571,326,30,108,643,755.0,56.0,651,4.01,14,127
California Angels,1989,162,91,71,669,5545,1422,208,37,145,429,1011.0,89.0,530,3.28,32,96
Chicago White Sox,1989,161,69,92,693,5504,1493,262,36,94,464,873.0,97.0,668,4.23,9,151
Chicago Cubs,1989,162,93,69,702,5513,1438,235,45,124,472,921.0,136.0,556,3.43,18,119
Cincinnati Reds,1989,162,75,87,632,5520,1362,243,28,128,493,1028.0,128.0,607,3.73,16,121
Cleveland Indians,1989,162,73,89,604,5463,1340,221,26,127,499,934.0,74.0,589,3.65,23,118
Detroit Tigers,1989,162,59,103,617,5432,1315,198,24,116,585,899.0,103.0,718,4.53,24,130
Houston Astros,1989,162,86,76,647,5516,1316,239,28,97,530,860.0,144.0,598,3.64,19,140
Kansas City Royals,1989,162,92,70,690,5475,1428,227,41,101,554,897.0,154.0,572,3.55,27,111
Los Angeles Dodgers,1989,160,77,83,554,5465,1313,241,17,89,507,885.0,81.0,480,2.95,25,118
Minnesota Twins,1989,162,80,82,740,5581,1542,278,35,117,478,743.0,111.0,680,4.28,19,107
Milwaukee Brewers,1989,162,81,81,707,5473,1415,235,32,126,455,791.0,165.0,605,3.8,16,155
Montreal Expos,1989,162,81,81,632,5482,1353,267,30,100,572,958.0,160.0,568,3.48,20,136
New York Yankees,1989,161,74,87,698,5458,1470,229,23,130,502,831.0,137.0,707,4.5,15,122
New York Mets,1989,162,87,75,683,5489,1351,280,21,147,504,934.0,158.0,532,3.29,24,144
Oakland Athletics,1989,162,99,63,712,5416,1414,220,25,127,562,855.0,157.0,497,3.09,17,129
Philadelphia Phillies,1989,163,67,95,629,5447,1324,215,36,123,558,926.0,106.0,643,4.04,10,133
Pittsburgh Pirates,1989,164,74,88,637,5539,1334,263,53,95,563,914.0,155.0,601,3.64,20,160
