name,yearID,G,W,L,R,AB,H,2B,3B,HR,BB,SO,SB,ER,ERA,CG,E
Tampa Bay Devil Rays,2003,162,63,99,715,5654,1501,298,38,137,420,1030.0,142.0,787,4.93,7,103
Texas Rangers,2003,162,71,91,826,5664,1506,274,36,239,488,1052.0,65.0,903,5.67,4,94
Toronto Blue Jays,2003,162,86,76,894,5661,1580,357,33,190,546,1081.0,37.0,748,4.69,14,117
Anaheim Angels,2004,162,92,70,836,5675,1603,272,37,162,450,942.0,143.0,692,4.28,2,90
Arizona Diamondbacks,2004,162,51,111,615,5544,1401,295,38,135,441,1022.0,53.0,794,4.98,5,139
Atlanta Braves,2004,162,96,66,803,5570,1503,304,37,178,587,1158.0,86.0,603,3.74,4,116
Baltimore Orioles,2004,162,78,84,842,5736,1614,319,18,169,528,949.0,101.0,760,4.7,8,110
Boston Red Sox,2004,162,98,64,949,5720,1613,373,25,222,659,1189.0,68.0,674,4.18,4,118
Chicago White Sox,2004,162,83,79,865,5534,1481,284,19,242,499,1030.0,78.0,782,4.91,8,100
Chicago Cubs,2004,162,89,73,789,5628,1508,308,29,235,489,1080.0,66.0,621,3.81,3,86
Cincinnati Reds,2004,162,76,86,750,5518,1380,287,28,194,599,1335.0,77.0,832,5.19,5,113
Cleveland Indians,2004,162,80,82,858,5676,1565,345,29,184,606,1009.0,94.0,784,4.81,8,106
Colorado Rockies,2004,162,68,94,833,5577,1531,331,34,202,568,1181.0,44.0,883,5.54,3,89
Detroit Tigers,2004,162,72,90,827,5623,1531,284,54,201,518,1144.0,86.0,788,4.93,7,144
Florida Marlins,2004,162,83,79,718,5486,1447,275,32,148,499,968.0,96.0,655,4.1,6,86
Houston Astros,2004,162,92,70,803,5468,1458,294,36,187,590,999.0,89.0,650,4.05,2,101
Kansas City Royals,2004,162,58,104,720,5538,1432,261,29,150,461,1057.0,67.0,813,5.15,6,131
Los Angeles Dodgers,2004,162,93,69,761,5542,1450,226,30,203,536,1092.0,102.0,647,4.01,2,73
Milwaukee Brewers,2004,161,67,94,634,5483,1358,295,32,135,540,1312.0,138.0,679,4.24,6,117
Minnesota Twins,2004,162,92,70,780,5623,1494,310,24,191,513,982.0,116.0,661,4.03,4,101
Montreal Expos,2004,162,67,95,635,5474,1361,276,27,151,496,925.0,109.0,696,4.33,11,99
New York Yankees,2004,162,101,61,897,5527,1483,281,20,242,670,982.0,84.0,752,4.69,1,99
New York Mets,2004,162,71,91,684,5532,1376,289,20,185,512,1159.0,107.0,658,4.09,2,137
Oakland Athletics,2004,162,91,71,793,5728,1545,336,15,189,608,1061.0,47.0,682,4.17,10,91
Philadelphia Phillies,2004,162,86,76,840,5643,1505,303,23,215,645,1133.0,100.0,724,4.45,4,81
Pittsburgh Pirates,2004,161,72,89,680,5483,1428,267,39,142,415,1066.0,63.0,680,4.29,3,103
San Diego Padres,2004,162,87,75,768,5573,1521,304,32,139,566,910.0,52.0,645,4.03,3,108
Seattle Mariners,2004,162,63,99,698,5722,1544,276,20,136,492,1058.0,110.0,772,4.76,7,103
San Francisco Giants,2004,162,91,71,850,5546,1500,314,33,183,705,874.0,43.0,695,4.29,8,101
St. Louis Cardinals,2004,162,105,57,855,5555,1544,319,24,214,548,1085.0,111.0,605,3.75,4,97
Tampa Bay Devil Rays,2004,161,70,91,714,5483,1416,278,46,145,469,944.0,132.0,757,4.81,3,119
Texas Rangers,2004,162,89,73,860,5615,1492,323,34,227,500,1099.0,69.0,724,4.53,5,117
Toronto Blue Jays,2004,161,67,94,719,5531,1438,290,34,145,513,1083.0,58.0,775,4.91,6,91
Arizona Diamondbacks,2005,162,77,85,696,5550,1419,291,27,191,606,1094.0,67.0,783,4.84,6,94
Atlanta Braves,2005,162,90,72,769,5486,1453,308,37,184,534,1084.0,92.0,639,3.98,8,86
Baltimore Orioles,2005,162,74,88,729,5551,1492,296,27,189,447,902.0,83.0,724,4.56,2,107
Boston Red Sox,2005,162,95,67,910,5626,1579,339,21,199,653,1044.0,45.0,752,4.74,6,109
Chicago White Sox,2005,162,99,63,741,5529,1450,253,23,200,435,1002.0,137.0,592,3.61,9,94
Chicago Cubs,2005,162,79,83,703,5584,1506,323,23,194,419,920.0,65.0,671,4.19,8,101
Cincinnati Reds,2005,163,73,89,820,5565,1453,335,15,222,611,1303.0,72.0,820,5.15,2,104
Cleveland Indians,2005,162,93,69,790,5609,1522,337,30,207,503,1093.0,62.0,582,3.61,6,106
Colorado Rockies,2005,162,67,95,740,5542,1477,280,34,150,509,1103.0,65.0,808,5.13,4,118
Detroit Tigers,2005,162,71,91,723,5602,1521,283,45,168,384,1038.0,66.0,719,4.51,7,110
Florida Marlins,2005,162,83,79,717,5502,1499,306,32,128,512,918.0,96.0,666,4.16,14,103
Houston Astros,2005,163,89,73,693,5462,1400,281,32,161,481,1037.0,115.0,563,3.51,6,89
Kansas City Royals,2005,162,56,106,701,5503,1445,289,34,126,424,1008.0,53.0,862,5.49,4,125
Los Angeles Angels of Anaheim,2005,162,95,67,761,5624,1520,278,30,147,447,848.0,161.0,598,3.68,7,87
Los Angeles Dodgers,2005,162,71,91,685,5433,1374,284,21,149,541,1094.0,58.0,695,4.38,6,106
Milwaukee Brewers,2005,162,81,81,726,5448,1413,327,19,175,531,1162.0,79.0,635,3.97,7,119
Minnesota Twins,2005,162,83,79,688,5564,1441,269,32,134,485,978.0,102.0,604,3.71,9,102
New York Yankees,2005,162,95,67,886,5624,1552,259,16,229,637,989.0,84.0,718,4.52,8,95
New York Mets,2005,162,83,79,722,5505,1421,279,32,175,486,1075.0,153.0,599,3.76,8,106
Oakland Athletics,2005,162,88,74,772,5627,1476,310,20,155,537,819.0,31.0,594,3.69,9,88
Philadelphia Phillies,2005,162,88,74,807,5542,1494,282,35,167,639,1083.0,116.0,672,4.21,4,90
Pittsburgh Pirates,2005,162,67,95,680,5573,1445,292,38,139,471,1092.0,73.0,706,4.42,4,117
San Diego Padres,2005,162,82,80,684,5502,1416,269,39,130,600,977.0,99.0,668,4.13,4,109
Seattle Mariners,2005,162,69,93,699,5507,1408,289,34,130,466,986.0,102.0,712,4.49,6,86
San Francisco Giants,2005,162,75,87,649,5462,1427,299,26,128,431,901.0,71.0,695,4.33,4,90
St. Louis Cardinals,2005,162,100,62,805,5538,1494,287,26,170,534,947.0,83.0,560,3.49,15,100
Tampa Bay Devil Rays,2005,162,67,95,750,5552,1519,289,40,157,412,990.0,151.0,851,5.39,1,124
Texas Rangers,2005,162,79,83,865,5716,1528,311,29,260,495,1112.0,67.0,794,4.96,2,108
Toronto Blue Jays,2005,162,80,82,775,5581,1480,307,39,136,486,955.0,72.0,653,4.06,9,95
Washington Nationals,2005,162,81,81,639,5426,1367,311,32,117,491,1090.0,45.0,627,3.87,4,92
Arizona Diamondbacks,2006,162,76,86,773,5645,1506,331,38,160,504,965.0,76.0,727,4.48,8,104
Atlanta Braves,2006,162,79,83,849,5583,1510,312,26,222,526,1169.0,52.0,736,4.6,6,99
Baltimore Orioles,2006,162,70,92,768,5610,1556,288,20,164,474,878.0,121.0,843,5.35,5,102
Boston Red Sox,2006,162,86,76,820,5619,1510,327,16,192,672,1056.0,51.0,773,4.83,3,66
Chicago White Sox,2006,162,90,72,868,5657,1586,291,20,236,502,1056.0,93.0,743,4.61,5,90
Chicago Cubs,2006,162,66,96,716,5587,1496,271,46,166,395,928.0,121.0,758,4.74,2,106
Cincinnati Reds,2006,162,80,82,749,5515,1419,291,12,217,614,1192.0,124.0,725,4.51,9,128
Cleveland Indians,2006,162,78,84,870,5619,1576,351,27,196,556,1204.0,55.0,698,4.41,13,118
Colorado Rockies,2006,162,76,86,813,5562,1504,325,54,157,561,1108.0,85.0,749,4.66,5,91
Detroit Tigers,2006,162,95,67,822,5642,1548,294,40,203,430,1133.0,60.0,618,3.84,3,106
Florida Marlins,2006,162,78,84,758,5502,1454,309,42,182,497,1249.0,110.0,696,4.37,6,126
Houston Astros,2006,162,82,80,735,5521,1407,275,27,174,585,1076.0,79.0,666,4.08,5,80
Kansas City Royals,2006,162,62,100,757,5589,1515,335,37,124,474,1040.0,65.0,896,5.65,3,98
Los Angeles Angels of Anaheim,2006,162,89,73,766,5609,1539,309,29,159,486,914.0,148.0,652,4.04,5,124
Los Angeles Dodgers,2006,162,88,74,820,5628,1552,307,58,153,601,959.0,128.0,686,4.23,1,115
Milwaukee Brewers,2006,162,75,87,730,5433,1400,301,20,180,502,1233.0,71.0,763,4.82,7,117
Minnesota Twins,2006,162,96,66,801,5602,1608,275,34,143,490,872.0,101.0,632,3.95,1,84
New York Yankees,2006,162,97,65,930,5651,1608,327,21,210,649,1053.0,139.0,708,4.41,5,104
New York Mets,2006,162,97,65,834,5558,1469,323,41,200,547,1071.0,146.0,673,4.14,5,104
Oakland Athletics,2006,162,93,69,771,5500,1429,266,22,175,650,976.0,61.0,679,4.21,5,84
Philadelphia Phillies,2006,162,85,77,865,5687,1518,294,41,216,626,1203.0,92.0,747,4.6,4,104
Pittsburgh Pirates,2006,162,67,95,691,5558,1462,286,17,141,459,1200.0,68.0,720,4.52,2,104
San Diego Padres,2006,162,88,74,731,5576,1465,298,38,161,564,1104.0,123.0,629,3.87,4,92
Seattle Mariners,2006,162,78,84,756,5670,1540,266,42,172,404,974.0,106.0,739,4.6,6,88
San Francisco Giants,2006,161,76,85,746,5472,1418,297,52,163,494,891.0,58.0,735,4.63,7,91
St. Louis Cardinals,2006,161,83,78,781,5522,1484,292,27,184,531,922.0,59.0,721,4.54,6,98
Tampa Bay Devil Rays,2006,162,61,101,689,5474,1395,267,33,190,441,1106.0,134.0,782,4.96,3,116
Texas Rangers,2006,162,80,82,835,5659,1571,357,23,183,505,1061.0,53.0,731,4.6,3,98
Toronto Blue Jays,2006,162,87,75,809,5596,1591,348,27,199,514,906.0,65.0,694,4.37,6,99
Washington Nationals,2006,162,71,91,746,5495,1437,322,22,164,594,1156.0,123.0,803,5.03,1,131
Arizona Diamondbacks,2007,162,90,72,712,5398,1350,286,40,171,532,1111.0,109.0,662,4.13,7,106
Atlanta Braves,2007,162,84,78,810,5689,1562,328,27,176,534,1149.0,64.0,665,4.11,1,107
Baltimore Orioles,2007,162,69,93,756,5631,1529,306,30,142,500,939.0,144.0,827,5.17,4,79
Boston Red Sox,2007,162,96,66,867,5589,1561,352,35,166,689,1042.0,96.0,618,3.87,5,81
Chicago White Sox,2007,162,72,90,693,5441,1341,249,20,190,532,1149.0,78.0,763,4.77,9,108
Chicago Cubs,2007,162,85,77,752,5643,1530,340,28,151,500,1054.0,86.0,650,4.04,2,94
Cincinnati Reds,2007,162,72,90,783,5607,1496,293,23,204,536,1113.0,97.0,796,4.94,6,95
Cleveland Indians,2007,162,96,66,811,5604,1504,305,27,178,590,1202.0,72.0,658,4.05,9,92
Colorado Rockies,2007,163,90,73,860,5691,1591,313,36,171,622,1152.0,100.0,706,4.32,4,68
Detroit Tigers,2007,162,88,74,887,5757,1652,352,50,177,474,1054.0,103.0,735,4.57,1,99
Florida Marlins,2007,162,71,91,790,5627,1504,340,38,201,521,1332.0,105.0,793,4.94,0,137
Houston Astros,2007,162,73,89,723,5605,1457,293,30,167,547,1043.0,65.0,761,4.68,2,103
Kansas City Royals,2007,162,69,93,706,5534,1447,300,46,102,428,1069.0,78.0,716,4.48,2,106
Los Angeles Angels of Anaheim,2007,162,94,68,822,5554,1578,324,23,123,507,883.0,139.0,674,4.23,5,101
Los Angeles Dodgers,2007,162,82,80,735,5614,1544,276,35,129,511,864.0,137.0,677,4.2,4,114
Milwaukee Brewers,2007,162,83,79,801,5554,1455,310,37,231,501,1137.0,96.0,708,4.41,3,109
Minnesota Twins,2007,162,79,83,718,5522,1460,273,36,118,512,839.0,112.0,663,4.15,5,95
New York Yankees,2007,162,94,68,968,5717,1656,326,32,201,637,991.0,123.0,724,4.49,1,88
New York Mets,2007,162,88,74,804,5605,1543,294,27,177,549,981.0,200.0,687,4.26,2,101
Oakland Athletics,2007,162,76,86,741,5577,1430,295,16,171,664,1119.0,52.0,689,4.28,4,90
Philadelphia Phillies,2007,162,89,73,892,5688,1558,326,41,213,641,1205.0,138.0,767,4.73,5,89
Pittsburgh Pirates,2007,162,68,94,724,5569,1463,322,31,148,463,1135.0,68.0,793,4.93,4,83
San Diego Padres,2007,163,89,74,741,5612,1408,322,31,171,557,1229.0,55.0,611,3.7,1,92
Seattle Mariners,2007,162,88,74,794,5684,1629,284,22,153,389,861.0,81.0,754,4.73,6,90
San Francisco Giants,2007,162,71,91,683,5538,1407,267,37,131,532,907.0,119.0,677,4.19,5,88
St. Louis Cardinals,2007,162,78,84,725,5529,1513,279,13,141,506,909.0,56.0,741,4.65,2,121
Tampa Bay Devil Rays,2007,162,66,96,782,5593,1500,291,36,187,545,1324.0,131.0,879,5.53,2,117
Texas Rangers,2007,162,75,87,816,5555,1460,298,36,179,503,1224.0,88.0,755,4.75,0,124
Toronto Blue Jays,2007,162,83,79,753,5536,1434,344,24,165,533,1044.0,57.0,644,4.0,11,102
Washington Nationals,2007,162,73,89,673,5520,1415,309,31,123,524,1128.0,69.0,736,4.58,0,109
Arizona Diamondbacks,2008,162,82,80,720,5409,1355,318,47,159,587,1287.0,58.0,635,3.98,6,113
Atlanta Braves,2008,162,72,90,753,5604,1514,316,33,130,618,1023.0,58.0,714,4.46,2,107
Baltimore Orioles,2008,161,68,93,782,5559,1486,322,30,172,533,990.0,81.0,810,5.13,4,100
Boston Red Sox,2008,162,95,67,845,5596,1565,353,33,173,646,1068.0,120.0,645,4.01,5,85
Chicago White Sox,2008,163,89,74,811,5553,1458,296,13,235,540,1016.0,67.0,658,4.06,4,108
Chicago Cubs,2008,161,97,64,855,5588,1552,329,21,184,636,1186.0,87.0,624,3.87,2,99
Cincinnati Reds,2008,162,74,88,704,5465,1351,269,24,187,560,1125.0,85.0,729,4.55,2,114
Cleveland Indians,2008,162,81,81,805,5543,1455,339,22,171,560,1213.0,77.0,711,4.45,10,94
Colorado Rockies,2008,162,74,88,747,5557,1462,310,28,160,570,1209.0,141.0,766,4.77,3,96
Detroit Tigers,2008,162,74,88,821,5641,1529,293,41,200,572,1076.0,63.0,786,4.9,1,113
Florida Marlins,2008,161,84,77,770,5499,1397,302,28,208,543,1371.0,76.0,707,4.43,2,117
Houston Astros,2008,161,86,75,712,5451,1432,284,22,167,449,1051.0,114.0,691,4.36,4,67
Kansas City Royals,2008,162,75,87,691,5608,1507,303,28,120,392,1005.0,79.0,720,4.48,2,96
Los Angeles Angels of Anaheim,2008,162,100,62,765,5540,1486,274,25,159,481,987.0,129.0,644,3.99,7,91
Los Angeles Dodgers,2008,162,84,78,700,5506,1455,271,29,137,543,1032.0,126.0,591,3.68,5,101
Milwaukee Brewers,2008,162,90,72,750,5535,1398,324,35,198,550,1203.0,108.0,623,3.85,12,101
Minnesota Twins,2008,163,88,75,829,5641,1572,298,49,111,529,979.0,102.0,675,4.16,5,108
New York Yankees,2008,162,89,73,789,5572,1512,289,20,180,535,1015.0,118.0,685,4.28,1,83
New York Mets,2008,162,89,73,799,5606,1491,274,38,172,619,1024.0,138.0,662,4.07,5,83
Oakland Athletics,2008,161,75,86,646,5451,1318,270,23,125,574,1226.0,88.0,640,4.01,4,98
Philadelphia Phillies,2008,162,92,70,799,5509,1407,291,36,214,586,1117.0,136.0,625,3.88,4,90
Pittsburgh Pirates,2008,162,67,95,735,5628,1454,314,21,153,474,1039.0,57.0,822,5.08,3,107
San Diego Padres,2008,162,63,99,637,5568,1390,264,27,154,518,1259.0,36.0,714,4.41,3,85
Seattle Mariners,2008,162,61,101,671,5643,1498,285,20,124,417,890.0,90.0,754,4.73,4,99
San Francisco Giants,2008,162,72,90,640,5543,1452,311,37,94,452,1044.0,108.0,701,4.38,4,96
St. Louis Cardinals,2008,162,86,76,779,5636,1585,283,26,174,577,985.0,73.0,677,4.19,2,85
Tampa Bay Rays,2008,162,97,65,774,5541,1443,284,37,180,626,1224.0,142.0,618,3.82,7,90
Texas Rangers,2008,162,79,83,901,5728,1619,376,35,194,595,1207.0,81.0,860,5.37,6,132
Toronto Blue Jays,2008,162,86,76,714,5503,1453,303,32,126,521,938.0,80.0,561,3.49,15,84
Washington Nationals,2008,161,59,102,641,5491,1376,269,26,117,534,1095.0,81.0,742,4.66,2,123
Arizona Diamondbacks,2009,162,70,92,720,5565,1408,307,45,173,571,1298.0,102.0,711,4.42,4,124
Atlanta Braves,2009,162,86,76,735,5539,1459,300,20,149,602,1064.0,58.0,581,3.57,3,96
Baltimore Orioles,2009,162,64,98,741,5618,1508,307,19,160,517,1013.0,76.0,817,5.15,2,90
Boston Red Sox,2009,162,95,67,872,5543,1495,335,25,212,659,1120.0,126.0,695,4.35,8,82
Chicago White Sox,2009,162,79,83,724,5463,1410,246,20,184,534,1022.0,113.0,663,4.14,4,113
Chicago Cubs,2009,161,83,78,707,5486,1398,293,29,161,592,1185.0,56.0,616,3.84,3,105
Cincinnati Reds,2009,162,78,84,673,5462,1349,280,25,158,531,1129.0,96.0,677,4.18,6,89
Cleveland Indians,2009,162,65,97,773,5568,1468,314,28,161,582,1211.0,84.0,806,5.06,5,97
Colorado Rockies,2009,162,92,70,804,5398,1408,300,50,190,660,1277.0,106.0,675,4.22,5,87
Detroit Tigers,2009,163,86,77,743,5540,1443,245,35,183,540,1114.0,72.0,690,4.29,4,88
Florida Marlins,2009,162,87,75,772,5572,1493,296,25,159,568,1226.0,75.0,690,4.29,5,106
Houston Astros,2009,162,74,88,643,5436,1415,270,32,142,448,990.0,113.0,722,4.54,5,78
Kansas City Royals,2009,162,65,97,686,5532,1432,276,51,144,457,1091.0,88.0,765,4.83,10,117
Los Angeles Angels of Anaheim,2009,162,97,65,883,5622,1604,293,33,173,547,1054.0,148.0,715,4.45,9,85
Los Angeles Dodgers,2009,162,95,67,780,5592,1511,278,39,145,607,1068.0,116.0,558,3.41,1,83
Milwaukee Brewers,2009,162,80,82,785,5510,1447,281,37,182,610,1231.0,68.0,770,4.83,1,98
Minnesota Twins,2009,163,87,76,817,5608,1539,271,40,172,585,1021.0,85.0,726,4.5,4,76
New York Yankees,2009,162,103,59,915,5660,1604,325,21,244,663,1014.0,111.0,687,4.26,3,86
New York Mets,2009,162,70,92,671,5453,1472,295,49,95,526,928.0,122.0,705,4.45,3,97
Oakland Athletics,2009,162,75,87,759,5584,1464,307,21,135,527,1046.0,133.0,685,4.26,2,105
Philadelphia Phillies,2009,162,93,69,820,5578,1439,312,35,224,589,1155.0,119.0,673,4.16,8,76
Pittsburgh Pirates,2009,161,62,99,636,5417,1364,289,34,125,499,1142.0,90.0,723,4.59,5,73
San Diego Padres,2009,162,75,87,638,5425,1315,265,31,141,586,1182.0,82.0,704,4.37,2,94
Seattle Mariners,2009,162,85,77,640,5543,1430,280,19,160,421,1093.0,89.0,625,3.87,4,105
San Francisco Giants,2009,162,88,74,657,5493,1411,275,43,122,392,1158.0,78.0,571,3.55,11,88
St. Louis Cardinals,2009,162,91,71,730,5465,1436,294,29,160,528,1041.0,75.0,586,3.66,8,96
Tampa Bay Rays,2009,162,84,78,803,5462,1434,297,36,199,642,1229.0,194.0,686,4.33,3,98
Texas Rangers,2009,162,87,75,784,5526,1436,296,27,224,472,1253.0,149.0,698,4.38,8,106
Toronto Blue Jays,2009,162,75,87,798,5696,1516,339,13,209,548,1028.0,73.0,720,4.47,10,76
Washington Nationals,2009,162,59,103,710,5493,1416,271,38,156,617,1208.0,73.0,791,5.0,6,143
Arizona Diamondbacks,2010,162,65,97,713,5473,1366,301,34,180,589,1529.0,86.0,765,4.81,3,102
Atlanta Braves,2010,162,91,71,738,5463,1411,312,25,139,634,1140.0,63.0,569,3.56,2,126
Baltimore Orioles,2010,162,66,96,613,5554,1440,264,21,133,424,1056.0,76.0,733,4.59,3,105
Boston Red Sox,2010,162,89,73,818,5646,1511,358,22,211,587,1140.0,68.0,679,4.2,3,111
Chicago White Sox,2010,162,88,74,752,5484,1467,263,21,177,467,922.0,160.0,658,4.09,6,103
Chicago Cubs,2010,162,75,87,685,5512,1414,298,27,149,479,1236.0,55.0,668,4.18,1,126
Cincinnati Reds,2010,162,91,71,790,5579,1515,293,30,188,522,1218.0,93.0,648,4.01,4,72
Cleveland Indians,2010,162,69,93,646,5487,1362,290,20,128,545,1184.0,91.0,684,4.3,10,110
Colorado Rockies,2010,162,83,79,770,5530,1452,270,54,173,585,1274.0,99.0,663,4.14,6,101
Detroit Tigers,2010,162,81,81,751,5643,1515,308,32,152,546,1147.0,69.0,690,4.3,6,109
Florida Marlins,2010,162,80,82,719,5531,1403,294,37,152,514,1375.0,92.0,652,4.08,5,123
Houston Astros,2010,162,76,86,611,5452,1348,252,25,108,415,1025.0,100.0,654,4.09,4,103
Kansas City Royals,2010,162,67,95,676,5604,1534,279,31,121,471,905.0,115.0,794,4.97,7,121
Los Angeles Angels of Anaheim,2010,162,80,82,681,5488,1363,276,19,155,466,1070.0,104.0,651,4.04,10,113
Los Angeles Dodgers,2010,162,80,82,667,5426,1368,270,29,120,533,1184.0,92.0,643,4.01,4,98
Milwaukee Brewers,2010,162,77,85,750,5606,1471,293,33,182,546,1216.0,81.0,733,4.58,3,101
Minnesota Twins,2010,162,94,68,781,5568,1521,318,41,142,559,967.0,68.0,638,3.95,9,78
New York Yankees,2010,162,95,67,859,5567,1485,275,32,201,662,1136.0,103.0,651,4.06,3,69
New York Mets,2010,162,79,83,656,5465,1361,266,40,128,502,1095.0,130.0,597,3.7,8,87
Oakland Athletics,2010,162,81,81,663,5448,1396,276,30,109,527,1061.0,156.0,566,3.56,7,99
Philadelphia Phillies,2010,162,97,65,772,5581,1451,290,34,166,560,1064.0,108.0,594,3.67,14,83
Pittsburgh Pirates,2010,162,57,105,587,5386,1303,276,27,126,463,1207.0,87.0,784,5.0,1,127
San Diego Padres,2010,162,90,72,665,5434,1338,236,24,132,538,1183.0,124.0,549,3.39,2,72
Seattle Mariners,2010,162,61,101,513,5409,1274,227,16,101,459,1184.0,142.0,628,3.93,11,110
San Francisco Giants,2010,162,92,70,697,5488,1411,284,30,162,487,1099.0,55.0,546,3.36,6,73
St. Louis Cardinals,2010,162,86,76,736,5542,1456,285,18,150,541,1027.0,79.0,577,3.57,7,99
Tampa Bay Rays,2010,162,96,66,802,5439,1343,295,37,160,672,1292.0,172.0,611,3.78,6,85
Texas Rangers,2010,162,90,72,787,5635,1556,268,25,162,511,986.0,123.0,636,3.93,7,105
Toronto Blue Jays,2010,162,85,77,755,5495,1364,319,21,257,471,1164.0,58.0,676,4.22,5,92
Washington Nationals,2010,162,69,93,655,5418,1355,250,31,149,503,1220.0,110.0,658,4.13,2,127
Arizona Diamondbacks,2011,162,94,68,731,5421,1357,293,37,172,531,1249.0,133.0,609,3.8,5,90
Atlanta Braves,2011,162,89,73,641,5528,1345,244,16,173,504,1260.0,77.0,572,3.48,3,83
Baltimore Orioles,2011,162,69,93,708,5585,1434,273,13,191,452,1120.0,81.0,786,4.89,3,110
Boston Red Sox,2011,162,90,72,875,5710,1600,352,35,203,578,1108.0,102.0,680,4.2,2,92
Chicago White Sox,2011,162,79,83,654,5502,1387,252,16,154,475,989.0,81.0,665,4.1,6,79
Chicago Cubs,2011,162,71,91,654,5549,1423,285,36,148,425,1202.0,69.0,690,4.33,4,134
Cincinnati Reds,2011,162,79,83,735,5612,1438,264,19,183,535,1250.0,97.0,678,4.16,4,91
Cleveland Indians,2011,162,80,82,704,5509,1380,290,26,154,494,1269.0,89.0,683,4.23,2,110
Colorado Rockies,2011,162,73,89,735,5544,1429,274,40,163,555,1201.0,118.0,713,4.43,5,98
Detroit Tigers,2011,162,95,67,787,5563,1540,297,34,169,521,1143.0,49.0,647,4.04,4,103
Florida Marlins,2011,162,72,90,625,5508,1358,274,30,149,542,1244.0,95.0,640,3.95,7,93
Houston Astros,2011,162,56,106,615,5598,1442,309,28,95,401,1164.0,118.0,719,4.51,2,116
Kansas City Royals,2011,162,71,91,730,5672,1560,325,41,129,442,1006.0,153.0,716,4.44,2,95
Los Angeles Angels of Anaheim,2011,162,86,76,667,5513,1394,289,34,155,442,1086.0,135.0,581,3.57,12,93
Los Angeles Dodgers,2011,161,82,79,644,5436,1395,237,28,117,498,1087.0,126.0,563,3.54,7,85
Milwaukee Brewers,2011,162,96,66,721,5447,1422,276,31,185,481,1083.0,94.0,582,3.63,1,111
Minnesota Twins,2011,162,63,99,619,5487,1357,259,25,103,440,1048.0,92.0,724,4.58,7,119
New York Yankees,2011,162,97,65,867,5518,1452,267,33,222,627,1138.0,147.0,605,3.73,5,102
New York Mets,2011,162,77,85,718,5600,1477,309,39,108,571,1085.0,130.0,674,4.19,6,116
Oakland Athletics,2011,162,74,88,645,5452,1330,280,29,114,509,1094.0,117.0,597,3.71,6,124
Philadelphia Phillies,2011,162,102,60,713,5579,1409,258,38,153,539,1024.0,96.0,495,3.02,18,74
Pittsburgh Pirates,2011,162,72,90,610,5421,1325,277,35,107,489,1308.0,108.0,650,4.04,5,112
San Diego Padres,2011,162,71,91,593,5417,1284,247,42,91,501,1320.0,170.0,551,3.42,0,94
Seattle Mariners,2011,162,67,95,556,5421,1263,253,22,109,435,1280.0,125.0,621,3.9,12,108
San Francisco Giants,2011,162,86,76,570,5486,1327,282,24,121,448,1122.0,85.0,522,3.2,3,104
St. Louis Cardinals,2011,162,90,72,762,5532,1513,308,22,162,542,978.0,57.0,608,3.74,7,116
Tampa Bay Rays,2011,162,91,71,707,5436,1324,273,37,172,571,1193.0,155.0,577,3.58,15,73
Texas Rangers,2011,162,96,66,855,5659,1599,310,32,210,475,930.0,143.0,607,3.79,10,114
Toronto Blue Jays,2011,162,81,81,743,5559,1384,285,34,186,525,1184.0,131.0,700,4.32,7,110
Washington Nationals,2011,161,80,81,624,5441,1319,257,22,154,470,1323.0,106.0,577,3.58,3,104
Arizona Diamondbacks,2012,162,81,81,734,5462,1416,307,33,165,539,1266.0,93.0,626,3.93,4,90
Atlanta Braves,2012,162,94,68,700,5425,1341,263,30,149,567,1289.0,101.0,549,3.42,5,86
Baltimore Orioles,2012,162,93,69,712,5560,1375,270,16,214,480,1315.0,58.0,642,3.9,1,106
Boston Red Sox,2012,162,69,93,734,5604,1459,339,16,165,428,1197.0,97.0,754,4.7,6,101
Chicago White Sox,2012,162,85,77,748,5518,1409,228,29,211,461,1203.0,109.0,646,4.02,6,70
Chicago Cubs,2012,162,61,101,613,5411,1297,265,36,137,447,1235.0,94.0,708,4.51,1,105
Cincinnati Reds,2012,162,97,65,669,5477,1377,296,30,172,481,1266.0,87.0,540,3.34,9,89
Cleveland Indians,2012,162,68,94,667,5525,1385,266,24,136,555,1087.0,110.0,766,4.78,2,96
Colorado Rockies,2012,162,64,98,758,5577,1526,306,52,166,450,1213.0,100.0,824,5.22,0,122
Detroit Tigers,2012,162,88,74,726,5476,1467,279,39,163,511,1103.0,59.0,596,3.75,9,99
Houston Astros,2012,162,55,107,583,5407,1276,238,28,146,463,1365.0,105.0,721,4.56,3,118
Kansas City Royals,2012,162,72,90,676,5636,1492,295,37,131,404,1032.0,132.0,693,4.3,2,113
Los Angeles Angels of Anaheim,2012,162,89,73,767,5536,1518,273,22,187,449,1113.0,134.0,640,4.02,6,98
Los Angeles Dodgers,2012,162,86,76,637,5438,1369,269,23,116,481,1156.0,104.0,538,3.34,2,98
Miami Marlins,2012,162,69,93,609,5437,1327,261,39,137,484,1228.0,149.0,655,4.09,5,103
Milwaukee Brewers,2012,162,83,79,776,5557,1442,300,39,202,466,1240.0,158.0,682,4.22,0,99
Minnesota Twins,2012,162,66,96,701,5562,1448,270,30,131,505,1069.0,135.0,762,4.77,3,107
New York Yankees,2012,162,95,67,804,5524,1462,280,13,245,565,1176.0,93.0,617,3.84,6,75
